,time,Biomass,Phosphate
286,286.0,0.1370354,-8.118317852351118e-08
287,287.0,0.1370354,-8.118317852351118e-08
288,288.0,0.1370354,-8.118317852351118e-08
289,289.0,0.1370354,-8.118317852351118e-08
290,290.0,0.1370354,-8.118317852351118e-08
291,291.0,0.1370354,-8.118317852351118e-08
292,292.0,0.1370354,-8.118317852351118e-08
293,293.0,0.1370354,-8.118317852351118e-08
294,294.0,0.1370354,-8.118317852351118e-08
295,295.0,0.1370354,-8.118317852351118e-08
296,296.0,0.1370354,-8.118317852351118e-08
297,297.0,0.1370354,-8.118317852351118e-08
298,298.0,0.1370354,-8.118317852351118e-08
299,299.0,0.1370354,-8.118317852351118e-08
300,300.0,0.1370354,-8.118317852351118e-08
301,301.0,0.1370354,-8.118317852351118e-08
302,302.0,0.1370354,-8.118317852351118e-08
303,303.0,0.1370354,-8.118317852351118e-08
304,304.0,0.1370354,-8.118317852351118e-08
305,305.0,0.1370354,-8.118317852351118e-08
306,306.0,0.1370354,-8.118317852351118e-08
307,307.0,0.1370354,-8.118317852351118e-08
308,308.0,0.1370354,-8.118317852351118e-08
309,309.0,0.1370354,-8.118317852351118e-08
310,310.0,0.1370354,-8.118317852351118e-08
311,311.0,0.1370354,-8.118317852351118e-08
312,312.0,0.1370354,-8.118317852351118e-08
313,313.0,0.1370354,-8.118317852351118e-08
314,314.0,0.1370354,-8.118317852351118e-08
315,315.0,0.1370354,-8.118317852351118e-08
316,316.0,0.1370354,-8.118317852351118e-08
317,317.0,0.1370354,-8.118317852351118e-08
318,318.0,0.1370354,-8.118317852351118e-08
319,319.0,0.1370354,-8.118317852351118e-08
320,320.0,0.1370354,-8.118317852351118e-08
321,321.0,0.1370354,-8.118317852351118e-08
322,322.0,0.1370354,-8.118317852351118e-08
323,323.0,0.1370354,-8.118317852351118e-08
324,324.0,0.1370354,-8.118317852351118e-08
325,325.0,0.1370354,-8.118317852351118e-08
326,326.0,0.1370354,-8.118317852351118e-08
327,327.0,0.1370354,-8.118317852351118e-08
328,328.0,0.1370354,-8.118317852351118e-08
329,329.0,0.1370354,-8.118317852351118e-08
330,330.0,0.1370354,-8.118317852351118e-08
331,331.0,0.1370354,-8.118317852351118e-08
332,332.0,0.1370354,-8.118317852351118e-08
333,333.0,0.1370354,-8.118317852351118e-08
334,334.0,0.1370354,-8.118317852351118e-08
335,335.0,0.1370354,-8.118317852351118e-08
336,336.0,0.1370354,-8.118317852351118e-08
337,337.0,0.1370354,-8.118317852351118e-08
338,338.0,0.1370354,-8.118317852351118e-08
339,339.0,0.1370354,-8.118317852351118e-08
340,340.0,0.1370354,-8.118317852351118e-08
341,341.0,0.1370354,-8.118317852351118e-08
342,342.0,0.1370354,-8.118317852351118e-08
343,343.0,0.1370354,-8.118317852351118e-08
344,344.0,0.1370354,-8.118317852351118e-08
345,345.0,0.1370354,-8.118317852351118e-08
346,346.0,0.1370354,-8.118317852351118e-08
347,347.0,0.1370354,-8.118317852351118e-08
348,348.0,0.1370354,-8.118317852351118e-08
349,349.0,0.1370354,-8.118317852351118e-08
350,350.0,0.1370354,-8.118317852351118e-08
351,351.0,0.1370354,-8.118317852351118e-08
352,352.0,0.1370354,-8.118317852351118e-08
353,353.0,0.1370354,-8.118317852351118e-08
354,354.0,0.1370354,-8.118317852351118e-08
355,355.0,0.1370354,-8.118317852351118e-08
356,356.0,0.1370354,-8.118317852351118e-08
357,357.0,0.1370354,-8.118317852351118e-08
358,358.0,0.1370354,-8.118317852351118e-08
359,359.0,0.1370354,-8.118317852351118e-08
360,360.0,0.1370354,-8.118317852351118e-08
361,361.0,0.1370354,-8.118317852351118e-08
362,362.0,0.1370354,-8.118317852351118e-08
363,363.0,0.1370354,-8.118317852351118e-08
364,364.0,0.1370354,-8.118317852351118e-08
365,365.0,0.1370354,-8.118317852351118e-08
366,366.0,0.1370354,-8.118317852351118e-08
367,367.0,0.1370354,-8.118317852351118e-08
368,368.0,0.1370354,-8.118317852351118e-08
369,369.0,0.1370354,-8.118317852351118e-08
370,370.0,0.1370354,-8.118317852351118e-08
371,371.0,0.1370354,-8.118317852351118e-08
372,372.0,0.1370354,-8.118317852351118e-08
373,373.0,0.1370354,-8.118317852351118e-08
374,374.0,0.1370354,-8.118317852351118e-08
375,375.0,0.1370354,-8.118317852351118e-08
376,376.0,0.1370354,-8.118317852351118e-08
377,377.0,0.1370354,-8.118317852351118e-08
378,378.0,0.1370354,-8.118317852351118e-08
379,379.0,0.1370354,-8.118317852351118e-08
380,380.0,0.1370354,-8.118317852351118e-08
381,381.0,0.1370354,-8.118317852351118e-08
382,382.0,0.1370354,-8.118317852351118e-08
383,383.0,0.1370354,-8.118317852351118e-08
384,384.0,0.1370354,-8.118317852351118e-08
