Reaction;Subsystem
HMR_4786;Arginine and proline metabolism
HMR_4787;Arginine and proline metabolism
HMR_5384;Arginine and proline metabolism
HMR_6932;Arginine and proline metabolism
HMR_6935;Arginine and proline metabolism
HMR_6938;Arginine and proline metabolism
HMR_6940;Arginine and proline metabolism
HMR_6942;Arginine and proline metabolism
HMR_6945;Arginine and proline metabolism
HMR_6948;Arginine and proline metabolism
HMR_6951;Arginine and proline metabolism
HMR_6965;Arginine and proline metabolism
HMR_6966;Arginine and proline metabolism
HMR_8096;Arginine and proline metabolism
HMR_8097;Arginine and proline metabolism
HMR_8098;Arginine and proline metabolism
HMR_8416;Arginine and proline metabolism
HMR_8425;Arginine and proline metabolism
HMR_8426;Arginine and proline metabolism
HMR_8427;Arginine and proline metabolism
HMR_8431;Arginine and proline metabolism
HMR_8432;Arginine and proline metabolism
HMR_8603;Arginine and proline metabolism
HMR_8604;Arginine and proline metabolism
HMR_8605;Arginine and proline metabolism
HMR_8606;Arginine and proline metabolism
HMR_8607;Arginine and proline metabolism
HMR_8609;Arginine and proline metabolism
HMR_8610;Arginine and proline metabolism
HMR_8611;Arginine and proline metabolism
HMR_4285;Alanine, aspartate and glutamate metabolism
HMR_0457;Glycine, serine and threonine metabolism
HMR_0460;Glycine, serine and threonine metabolism
HMR_3750;Glycine, serine and threonine metabolism
HMR_3752;Glycine, serine and threonine metabolism
HMR_3770;Glycine, serine and threonine metabolism
HMR_3771;Glycine, serine and threonine metabolism
HMR_3772;Glycine, serine and threonine metabolism
HMR_3782;Glycine, serine and threonine metabolism
HMR_3784;Glycine, serine and threonine metabolism
HMR_3839;Glycine, serine and threonine metabolism
HMR_3841;Glycine, serine and threonine metabolism
HMR_3843;Glycine, serine and threonine metabolism
HMR_3845;Glycine, serine and threonine metabolism
HMR_3847;Glycine, serine and threonine metabolism
HMR_3849;Glycine, serine and threonine metabolism
HMR_3852;Glycine, serine and threonine metabolism
HMR_3856;Glycine, serine and threonine metabolism
HMR_3860;Glycine, serine and threonine metabolism
HMR_3883;Glycine, serine and threonine metabolism
HMR_3901;Glycine, serine and threonine metabolism
HMR_3939;Glycine, serine and threonine metabolism
HMR_3974;Glycine, serine and threonine metabolism
HMR_4198;Glycine, serine and threonine metabolism
HMR_4199;Glycine, serine and threonine metabolism
HMR_4200;Glycine, serine and threonine metabolism
HMR_4284;Glycine, serine and threonine metabolism
HMR_4348;Glycine, serine and threonine metabolism
